Sample_Set,Ecoregion,Land_Use,Current_Vegetation,Collection_Date
60929_1,Northern Rockies,"Shrub Land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)",Grass,6/19/2023
60929_2,Northern Rockies,"Shrub Land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)",Grass,6/19/2023
60929_3,Northern Rockies,"Shrub Land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)",Grass,6/19/2023
60881_1,Central Plains,Pastureland (grasslands used for livestock grazing),,6/25/2023
60881_2,Central Plains,Pastureland (grasslands used for livestock grazing),,6/25/2023
60881_3,Central Plains,Pastureland (grasslands used for livestock grazing),,6/25/2023
60881_4,Central Plains,Pastureland (grasslands used for livestock grazing),,6/25/2023
60881_5,Central Plains,Pastureland (grasslands used for livestock grazing),,6/25/2023
60881_6,Central Plains,Pastureland (grasslands used for livestock grazing),,6/25/2023
60921_1,Pacific Northwest,"Conifers (e.g. pine,spruce,fir,cypress)",Douglas-fir,6/25/2023
60921_2,Pacific Northwest,"Conifers (e.g. pine,spruce,fir,cypress)",Douglas-fir,6/25/2023
60940_1,Southern Rockies / Colorado Plateau,"Meadows (grasses,alfalfa,fescue,bromegrass,timothy)",Temperate & Boreal Grassland & Shrubland Subclass,7/23/2023
60940_2,Southern Rockies / Colorado Plateau,"Meadows (grasses,alfalfa,fescue,bromegrass,timothy)",Temperate & Boreal Grassland & Shrubland Subclass,7/23/2023
60940_3,Southern Rockies / Colorado Plateau,"Meadows (grasses,alfalfa,fescue,bromegrass,timothy)",Temperate & Boreal Grassland & Shrubland Subclass,7/23/2023
60940_4,Southern Rockies / Colorado Plateau,"Meadows (grasses,alfalfa,fescue,bromegrass,timothy)",Temperate & Boreal Grassland & Shrubland Subclass,7/23/2023
60940_5,Southern Rockies / Colorado Plateau,"Meadows (grasses,alfalfa,fescue,bromegrass,timothy)",Temperate & Boreal Grassland & Shrubland Subclass,7/24/2023
60940_6,Southern Rockies / Colorado Plateau,"Meadows (grasses,alfalfa,fescue,bromegrass,timothy)",Temperate & Boreal Grassland & Shrubland Subclass,7/24/2023
60920_1,Tundra,"Tundra (mosses,lichens)",intertussock,8/6/2023
60920_2,Tundra,"Tundra (mosses,lichens)",tussock,8/6/2023
60920_3,Tundra,"Tundra (mosses,lichens)",non-tussock tundra,8/6/2023
60920_4,Tundra,"Tundra (mosses,lichens)",wet sedge,8/6/2023
60920_5,Tundra,"Tundra (mosses,lichens)",shrub,8/6/2023
60920_6,Tundra,"Tundra (mosses,lichens)",non-acidic intertussock,8/7/2023
60920_7,Tundra,"Tundra (mosses,lichens)",non-acidic non-tussock tundra,8/7/2023
60920_8,Tundra,"Tundra (mosses,lichens)",intertussock,8/7/2023
60920_9,Tundra,"Tundra (mosses,lichens)",tussock,8/7/2023
60920_10,Tundra,"Tundra (mosses,lichens)",tall shrub,8/8/2023
60920_11,Tundra,"Tundra (mosses,lichens)",shrub,8/8/2023
60923_8,Prairie Peninsula,,Switchgrass - Kanlow,8/20/2023
60923_9,Prairie Peninsula,,Switchgrass - Blackwell,8/20/2023
60923_10,Prairie Peninsula,,Switchgrass - Kanlow,8/20/2023
60923_11,Prairie Peninsula,,Switchgrass - Blackwell,8/20/2023
60923_12,Prairie Peninsula,,Switchgrass - Blackwell,8/20/2023
60923_13,Prairie Peninsula,,Switchgrass - Kanlow,8/20/2023
60923_14,Prairie Peninsula,,,8/20/2023
60846_2,Southeast,"Conifers (e.g. pine,spruce,fir,cypress)","Loblolly pine, mature forest",8/20/2023
60846_5,Southeast,"Hardwoods (e.g. oak,hickory,elm,aspen)",Bottomland Harwoods,8/20/2023
60846_17,Southeast,"Conifers (e.g. pine,spruce,fir,cypress)","Loblolly pine, recent harvest",8/20/2023
60846_7,Southeast,"Hardwoods (e.g. oak,hickory,elm,aspen)",Flatwoods - Mixed pine+hardwoods,8/21/2023
60846_12,Southeast,"Hardwoods (e.g. oak,hickory,elm,aspen)",Bottomland Harwoods,8/21/2023
60942_4,Taiga,Vegetable Crops,Potato,9/4/2023
60942_5,Taiga,"Meadows (grasses,alfalfa,fescue,bromegrass,timothy)",Abandoned agricultural area now dominated by grasses,9/4/2023
60942_6,Taiga,Intermixed Hardwood and Conifers,Birch-Aspen-Spruce mixed forest,9/4/2023
60942_1,Taiga,Vegetable Crops,Potato,9/9/2023
60942_2,Taiga,"Meadows (grasses,alfalfa,fescue,bromegrass,timothy)",Abandoned agricultural area now dominated by grasses,9/9/2023
60942_3,Taiga,Intermixed Hardwood and Conifers,Birch-Aspen forest with some Spruce,9/9/2023
60933_1,Southern Rockies / Colorado Plateau,"Conifers (e.g. pine,spruce,fir,cypress)",Alpine Forest,9/11/2023
60933_2,Southern Rockies / Colorado Plateau,"Conifers (e.g. pine,spruce,fir,cypress)",Alpine Forest,9/11/2023
60933_3,Southern Rockies / Colorado Plateau,"Conifers (e.g. pine,spruce,fir,cypress)",Alpine Forest,9/11/2023
60933_4,Southern Rockies / Colorado Plateau,"Conifers (e.g. pine,spruce,fir,cypress)",Alpine Forest,9/11/2023
60933_5,Southern Rockies / Colorado Plateau,"Conifers (e.g. pine,spruce,fir,cypress)",Alpine Forest,9/11/2023
60923_15,Great Lakes,,Switchgrass - Kanlow,9/11/2023
60923_16,Great Lakes,,Switchgrass - Blackwell,9/11/2023
60923_17,Great Lakes,,Switchgrass - Kanlow,9/11/2023
60923_18,Great Lakes,,Switchgrass - Blackwell,9/11/2023
60923_19,Great Lakes,,Switchgrass - Kanlow,9/11/2023
60923_20,Great Lakes,,Switchgrass - Blackwell,9/11/2023
60923_21,Great Lakes,,,9/11/2023
60933_7,Southern Rockies / Colorado Plateau,"Hardwoods (e.g. oak,hickory,elm,aspen)",Alpine Forest,9/13/2023
60933_8,Southern Rockies / Colorado Plateau,"Hardwoods (e.g. oak,hickory,elm,aspen)",Alpine Forest,9/13/2023
60933_9,Southern Rockies / Colorado Plateau,"Hardwoods (e.g. oak,hickory,elm,aspen)",Alpine Forest,9/13/2023
60933_10,Southern Rockies / Colorado Plateau,"Hardwoods (e.g. oak,hickory,elm,aspen)",Alpine Forest,9/13/2023
60886_1,Prairie Peninsula,Row Crops,Maize,9/17/2023
60886_2,Prairie Peninsula,Row Crops,Maize,9/17/2023
